Country,Population2000,Population2019,PopulationGrowth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Morocco,28.8,36.5,1.2,28800000,29145600,29495347,29849291,30207483,30569973,30936812,31308054,31683751,32063956,32448723,32838108,33232165,33630951,34034523,34442937
Mozambique,17.7,30.4,2.8,17700000,18195600,18705077,19228819,19767226,20320708,20889688,21474599,22075888,22694013,23329445,23982670,24654185,25344502,26054148,26783664
Myanmar,46.7,54,0.8,46700000,47073600,47450189,47829790,48212429,48598128,48986913,49378808,49773839,50172030,50573406,50977993,51385817,51796904,52211279,52628969
Namibia,1.8,2.5,1.7,1800000,1830600,1861720,1893369,1925557,1958291,1991582,2025439,2059871,2094889,2130502,2166721,2203555,2241016,2279113,2317858
Nepal,23.9,28.6,0.9,23900000,24115100,24332136,24551125,24772085,24995034,25219989,25446969,25675992,25907076,26140240,26375502,26612881,26852397,27094069,27337915
Netherlands,15.9,17.3,0.4,15900000,15963600,16027454,16091564,16155930,16220554,16285436,16350578,16415980,16481644,16547571,16613761,16680216,16746937,16813925,16881181
New Caledonia,0.2,0.3,1.6,200000,203200,206451,209754,213110,216520,219985,223504,227080,230714,234405,238156,241966,245838,249771,253767
New Zealand,3.9,5,1.3,3900000,3950700,4002059,4054086,4106789,4160177,4214260,4269045,4324543,4380762,4437711,4495402,4553842,4613042,4673011,4733761
Nicaragua,5.1,6.5,1.3,5100000,5166300,5233462,5301497,5370416,5440232,5510955,5582597,5655171,5728688,5803161,5878602,5955024,6032439,6110861,6190302
Niger,11.3,23.3,3.8,11300000,11729400,12175117,12637772,13118007,13616491,14133918,14671007,15228505,15807188,16407861,17031360,17678552,18350337,19047650,19771460
Nigeria,122.3,201,2.6,122300000,125479800,128742275,132089574,135523903,139047524,142662760,146371992,150177664,154082283,158088422,162198721,166415888,170742701,175182011,179736743
North Macedonia,2,2.1,0.1,2000000,2002000,2004002,2006006,2008012,2010020,2012030,2014042,2016056,2018072,2020090,2022110,2024132,2026157,2028183,2030211
