Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Romania,37253,40395,46066,57807,74973,98453,122023,174585,214314,174104,166309,183327,170636,190801,199959,177729
Russian Federation,259710,306602,345470,430348,591017,764017,989931,1299706,1660846,1222644,1524917,2045926,2208296,2292473,2059242,1363481
Rwanda,2069,1967,1966,2138,2376,2933,3319,4070,5179,5673,6124,6885,7655,7820,8246,8545
Samoa,269,273,288,339,420,466,506,570,619,585,663,737,761,770,757,788
San Marino,1005,1077,1168,1464,1724,1786,1908,2186,2393,2056,1881,1814,1605,1679,1674,1419
Sao Tome and Principe,,76,85,102,115,136,143,149,188,188,197,231,251,301,347,316
Saudi Arabia,189515,184137,189606,215808,258742,328460,376900,415965,519797,429098,528207,671239,735975,746647,756350,654270
Senegal,5924,6175,6753,8683,10167,11023,11848,14286,16950,16248,16231,17902,17824,18966,19797,17775
Serbia,6876,12961,17121,22482,26142,27683,32482,43171,52194,45163,41819,49258,43309,48394,47062,39656
Seychelles,615,622,698,706,839,919,1016,1034,967,847,970,1066,1060,1328,1343,1377
Sierra Leone,636,1090,1253,1386,1449,1650,1885,2158,2505,2454,2578,2943,3802,4920,5015,4219
Singapore,96074,89795,92538,97645,115035,127808,148630,180942,193612,194152,239809,279351,295087,307576,314851,308004
Sint Maarten (Dutch part),,,,,,,,,,,,936,986,1023,1245,1253
Slovak Republic,29170,30752,35130,46817,57332,62785,70708,86454,100470,89046,90311,99123,94535,98849,101190,88468
Slovenia,20290,20876,23490,29635,34415,36206,39481,48006,55553,50368,48161,51516,46580,48402,49931,43090
Solomon Islands,429,424,357,353,398,477,539,620,699,736,847,1050,1191,1285,1336,1307
Somalia,,,,,,,,,,,,,,3892,3964,4049
South Africa,136361,121515,115482,175257,228590,257773,271638,299416,286770,295936,375349,416419,396333,366829,350905,317621
South Sudan,,,,,,,,,14586,12231,14602,14907,11931,18426,13962,11998
Spain,596878,627287,705394,905492,1067093,1153286,1259344,1472131,1625225,1485583,1420722,1478773,1324820,1354757,1369399,1195119
Sri Lanka,16331,15750,16537,18882,20663,24406,28280,32350,40714,42066,56726,65293,68434,74318,79356,80604
St. Kitts and Nevis,421,459,481,470,507,547,644,689,751,748,760,818,800,840,917,923
St. Lucia,933,893,900,987,1067,1136,1268,1336,1438,1402,1487,1577,1605,1665,1755,1808
St. Vincent and the Grenadines,396,430,462,482,522,551,611,684,695,675,681,676,693,721,728,755
Sudan,12257,13183,14803,17647,21457,26525,35822,45899,54527,49957,58168,57060,52767,57730,64942,74295
Suriname,948,834,1094,1274,1484,1793,2626,2937,3533,3875,4368,4422,4980,5146,5241,4787
Sweden,262835,242396,266849,334337,385118,392218,423093,491253,517706,436537,495813,574094,552484,586842,581964,505104
Switzerland,272055,278631,301417,352915,394164,408689,430921,479913,554363,541507,583783,699580,668044,688504,709183,679832
Syrian Arab Republic,19326,21100,21582,21828,25087,28859,33333,40405,,,,,,,,
Tajikistan,861,1081,1221,1555,2076,2312,2830,3720,5161,4979,5642,6523,7633,8448,9113,7855
Tanzania,13376,13582,14142,15224,16676,18399,18650,21844,27941,29081,32014,34657,39651,45681,49965,47379
Thailand,126392,120296,134301,152281,172896,189319,221758,262942,291383,281710,341105,370819,397558,420333,407339,401296
Timor-Leste,367,477,469,490,441,462,454,543,648,727,882,1055,1148,1396,1447,1594
Togo,1488,1481,1699,2111,2256,2281,2349,2659,3310,3366,3429,3872,3873,4322,4575,4181
Tonga,205,181,183,202,231,262,292,299,344,312,367,415,471,451,440,437
Trinidad and Tobago,8154,8825,9008,11305,13280,15982,18369,21642,27872,19172,22158,25433,25763,27268,27616,25063
Tunisia,21473,22066,23142,27453,31183,32273,34378,38908,44857,43455,44051,45811,45044,46251,47632,43173
Turkey,274303,201753,240249,314595,408865,506315,557076,681321,770449,649289,776968,838786,880556,957799,938934,864314
Turkmenistan,2905,3535,4462,5978,6838,8104,10277,12664,19272,20214,22583,29233,35164,39198,43524,35800
Turks and Caicos Islands,,359,367,410,486,579,722,773,863,703,687,729,727,754,841,942
Tuvalu,14,13,15,18,22,22,23,27,30,27,32,39,38,38,37,35
Uganda,6193,5841,6179,6607,7939,9239,9978,11903,14440,25020,26559,27753,27189,28792,32472,32248
Ukraine,31262,37972,42352,50084,64820,86058,107648,142580,179817,117113,136013,163160,175781,183310,133503,91031
United Arab Emirates,104337,103312,109816,124346,147824,180617,222117,257916,315475,253547,289787,350666,374591,390108,403137,358135
United Kingdom,1657817,1640246,1784474,2053019,2416932,2538680,2713750,3100882,2922667,2410910,2475244,2659310,2704888,2786023,3063803,2928591
United States,10252345,10581821,10936419,11458244,12213729,13036640,13814611,14451859,14712844,14448933,14992053,15542581,16197007,16784849,17527164,18224704
Uruguay,22823,20899,13606,12046,13686,17363,19579,23411,30366,31661,40284,47962,51264,57531,57236,53274
Uzbekistan,13761,11401,9688,10134,12030,14308,17331,22311,29549,33689,46680,56516,63629,68997,76659,81847
Vanuatu,272,258,263,314,365,395,439,526,608,610,701,792,782,802,815,760
"Venezuela, RB",117141,122904,92894,83621,112453,145510,183478,230364,315953,329788,393192,316482,381286,371005,482359,
Vietnam,31173,32685,35064,39553,45428,57633,66372,77414,99130,106015,115932,135539,155820,171222,186205,193241
Virgin Islands (U.S.),,,3269,3453,3799,4439,4504,4803,4250,4203,4339,4239,4095,3762,3622,3748
West Bank and Gaza,4314,4004,3556,3968,4603,5126,5348,5816,7310,8086,9682,11186,12208,13516,13990,13972
"Yemen, Rep.",9652,9862,10695,11778,13873,16746,19062,21651,26911,25130,30907,32726,35401,40415,43206,42451
Zambia,3601,4094,4194,4902,6221,8332,12757,14057,17911,15328,20266,23460,25503,28046,27151,21243
Zimbabwe,6690,6777,6342,5728,5806,5755,5444,5292,4416,9666,12042,14102,17115,19091,19496,19963
